Sample,X,Y,Z
400,-0.4595,0.3152,0.7026
401,-1.2419,-0.1465,0.9661
402,-0.7817,0.0442,1.1245
403,-0.6548,0.1228,0.8081
404,-0.9031,-0.2170,1.1409
405,-0.2332,0.1406,0.9133
406,-0.3081,-0.0203,1.0649
407,-0.2312,-0.0039,0.9807
408,-0.2046,-0.0725,0.9800
409,-0.3696,-0.2368,1.2056
410,-0.3618,-0.0127,1.0093
411,-0.6089,-0.1143,1.0190
412,-0.5791,0.0142,0.9956
413,-0.5464,0.0176,0.9976
414,-0.6785,-0.0498,0.9934
415,-0.9478,0.1106,0.8022
416,-0.6296,0.2085,0.8792
417,-0.7341,-0.0544,1.0325
418,-0.3794,0.0039,0.9751
419,-0.4136,0.0437,1.0737
420,-0.4673,-0.0017,0.9478
421,-0.4783,-0.1418,1.0569
422,-0.1460,0.0906,0.8237
423,-0.1809,0.1763,0.8557
424,-0.8110,-0.1221,1.2798
425,-0.6619,-0.1260,1.1418
426,-0.3110,0.0205,0.8579
427,-0.6199,-0.0437,1.0266
428,-0.7966,0.1353,1.0901
429,-0.6248,0.0581,0.6799
430,-0.1909,0.0999,0.9116
431,-0.4343,0.0051,0.9954
432,-0.4363,-0.0813,1.1428
433,0.3120,0.0830,0.8108
434,0.4011,-0.0840,1.2036
435,0.2847,0.0408,1.0911
436,0.2300,-0.0520,1.0090
437,0.3284,0.0618,0.7993
438,0.0938,-0.0601,0.9058
439,-0.0327,0.0781,1.0737
440,-0.1274,-0.1250,1.1262
441,-0.1184,0.0916,0.8540
442,-0.3293,0.0410,0.9194
443,-0.2573,0.0762,1.0483
444,-0.0144,0.0862,0.9241
445,-0.0691,-0.0371,0.9761
446,0.0996,-0.0479,1.0024
447,0.3381,0.0574,0.9644
448,0.3052,-0.0010,0.9807
449,0.1289,-0.0156,0.9409
450,-0.0618,-0.0779,1.0793
451,0.0354,0.0378,0.9983
452,-0.0354,0.0383,0.9614
453,-0.1243,-0.0295,1.0034
454,0.0122,0.1328,0.9270
455,-0.0247,0.0237,0.9397
456,-0.0742,-0.0710,1.1399
457,-0.0378,0.0195,0.8879
458,0.0022,0.0488,0.9106
459,0.1221,0.0322,0.9309
460,0.0640,-0.0488,1.0471
461,0.0786,-0.0332,1.0989
462,0.0977,0.0190,0.9944
463,0.0398,0.0325,0.9543
464,-0.0105,0.0400,0.9495
465,-0.0508,0.0369,0.9595
466,-0.0256,0.0278,0.9517
467,-0.0706,-0.0330,1.0500
468,-0.0271,-0.0173,1.0034
469,0.0215,0.0281,0.9563
470,-0.0061,0.0173,0.9485
471,-0.0054,-0.0029,0.9641
472,0.0234,0.0029,1.0120
473,0.0566,0.0137,0.9944
474,0.0144,-0.0371,1.0083
475,0.0144,-0.0154,1.0110
476,0.0247,0.0244,0.9709
477,-0.0454,0.0042,0.9885
478,-0.0586,0.0271,0.9573
479,-0.0525,0.0291,0.9319
480,-0.0085,0.0212,0.9631
481,0.0107,-0.0005,0.9827
482,0.0227,-0.0193,1.0229
483,0.0149,0.0061,1.0149
484,0.0068,0.0383,0.9673
485,0.0039,0.0222,0.9592
486,-0.0129,0.0015,0.9556
487,-0.0144,-0.0151,0.9768
488,0.0244,-0.0015,1.0032
489,0.0234,-0.0015,0.9993
490,0.0024,0.0090,1.0042
491,-0.0081,0.0347,0.9387
492,-0.0129,0.0349,0.9338
493,-0.0037,0.0251,0.9878
494,-0.0012,0.0032,0.9973
495,0.0198,-0.0127,1.0103
496,0.0496,0.0010,1.0051
497,0.0381,0.0061,0.9673
498,-0.0032,0.0059,0.9768
499,-0.0066,0.0154,0.9592
500,0.0083,0.0181,0.9514
501,0.0381,0.0117,1.0044
502,0.0342,-0.0061,1.0298
503,0.0281,0.0029,1.0005
504,0.0110,0.0364,0.9565
505,-0.0063,0.0383,0.9614
506,-0.0173,0.0171,0.9712
507,-0.0032,0.0105,0.9641
508,0.0454,0.0112,0.9944
509,0.0500,-0.0222,1.0237
510,0.0220,-0.0110,1.0002
511,0.0383,0.0403,0.9673
512,-0.0078,0.0271,0.9507
513,-0.0142,0.0193,0.9631
514,0.0205,0.0144,0.9895
515,0.0142,-0.0020,1.0024
516,0.0076,-0.0007,0.9985
517,-0.0007,0.0081,0.9944
518,0.0371,0.0410,0.9624
519,-0.0090,0.0171,0.9526
520,-0.0076,0.0103,0.9651
521,0.0181,0.0090,0.9878
522,0.0154,-0.0049,1.0073
523,0.0269,-0.0007,1.0002
524,0.0139,0.0088,0.9895
525,-0.0132,0.0134,0.9790
526,-0.0110,0.0298,0.9624
527,-0.0212,0.0132,0.9517
528,-0.0115,-0.0051,0.9829
529,0.0222,0.0044,0.9983
530,0.0239,0.0127,0.9956
531,0.0093,0.0027,0.9927
532,-0.0212,0.0073,0.9751
533,-0.0020,0.0349,0.9526
534,0.0051,0.0161,0.9612
535,-0.0100,-0.0176,1.0005
536,-0.0049,-0.0188,1.0073
537,0.0310,0.0198,0.9956
538,0.0151,0.0203,0.9819
539,-0.0320,0.0103,0.9683
540,-0.0142,0.0310,0.9438
541,0.0027,0.0176,0.9504
542,0.0063,-0.0029,1.0161
543,0.0212,-0.0164,1.0181
544,0.0132,-0.0056,0.9868
545,0.0237,0.0237,0.9722
546,-0.0144,0.0193,0.9702
547,-0.0171,0.0078,0.9722
548,0.0098,0.0134,0.9722
549,0.0105,-0.0005,0.9954
550,0.0112,-0.0110,1.0100
551,0.0249,0.0110,0.9924
552,0.0120,0.0298,0.9692
553,0.0054,0.0198,0.9556
554,0.0039,0.0142,0.9634
555,0.0083,0.0120,0.9934
556,0.0154,0.0017,0.9895
557,0.0308,-0.0071,0.9963
558,0.0308,0.0083,1.0034
559,0.0061,0.0164,0.9868
560,-0.0132,0.0283,0.9604
561,0.0024,0.0171,0.9504
562,0.0144,0.0037,0.9944
563,0.0220,0.0032,1.0071
564,0.0337,0.0049,0.9927
565,0.0203,0.0073,0.9917
566,0.0107,0.0242,0.9739
567,-0.0022,0.0300,0.9585
568,-0.0022,0.0159,0.9702
569,0.0042,0.0000,0.9846
570,0.0156,0.0007,1.0061
571,0.0242,0.0020,1.0090
572,0.0178,0.0120,0.9849
573,0.0000,0.0225,0.9651
574,0.0029,0.0400,0.9641
575,-0.0015,0.0208,0.9719
576,0.0078,0.0093,0.9875
577,0.0210,-0.0042,0.9956
578,0.0085,-0.0046,1.0054
579,0.0046,0.0139,0.9849
580,-0.0049,0.0178,0.9670
581,-0.0083,0.0151,0.9731
582,-0.0085,0.0051,0.9751
583,0.0000,0.0012,0.9868
584,0.0178,-0.0017,0.9985
585,0.0159,-0.0022,1.0054
586,0.0151,0.0100,0.9868
587,-0.0112,0.0161,0.9731
588,-0.0186,0.0107,0.9595
589,-0.0005,0.0078,0.9680
590,0.0042,0.0095,0.9973
591,0.0054,-0.0139,1.0073
592,0.0186,-0.0015,0.9856
593,0.0127,0.0186,0.9807
594,-0.0129,0.0154,0.9771
595,-0.0320,0.0039,0.9575
596,0.0195,0.0166,0.9663
597,0.0264,-0.0093,1.0044
598,0.0024,-0.0156,1.0178
599,0.0093,0.0032,0.9790
600,0.0110,0.0259,0.9524
601,0.0002,0.0305,0.9722
602,-0.0024,0.0149,0.9758
603,-0.0015,-0.0039,0.9780
604,0.0249,0.0061,0.9878
605,0.0090,-0.0027,0.9973
