Sample,X,Y,Z
302,0.0078,0.0215,1.1917
303,0.1494,-0.2090,0.9907
304,0.0254,-0.0476,0.9075
305,-0.0188,0.0923,0.9670
306,-0.0024,0.0967,0.9788
307,-0.1240,-0.0176,0.7971
308,-0.0442,-0.0415,1.0122
309,0.0999,-0.0518,0.9956
310,-0.0339,0.1301,1.0122
311,0.0337,-0.0149,0.8384
312,0.1248,0.1660,0.9470
313,-0.0051,-0.0591,0.8940
314,0.1343,0.0796,1.1174
315,0.0256,-0.0022,1.1558
316,-0.1550,-0.0701,0.7786
317,-0.0903,0.1650,1.1362
318,-0.1082,-0.0928,0.8040
319,-0.0227,0.0332,0.9937
320,0.0266,0.0645,1.0151
321,0.0654,0.0320,0.9751
322,0.1404,0.2085,0.9016
323,0.0171,0.0847,1.0081
324,0.1106,0.0339,0.9409
325,0.0173,-0.1292,1.1145
326,0.0168,-0.0557,1.0667
327,-0.0461,-0.1025,1.0884
328,0.0457,0.0059,1.1174
329,-0.0281,-0.0896,0.8030
330,0.0093,0.0452,0.9563
331,-0.0605,0.0374,1.0120
332,-0.0928,0.1064,0.9907
333,0.0439,0.0369,0.7729
334,-0.0530,0.0881,1.0552
335,-0.0386,0.1052,0.8989
336,-0.0127,0.2039,1.1147
337,0.1179,0.2195,0.8862
338,0.0791,0.1809,1.0356
339,0.2261,-0.0303,1.0432
340,0.0081,-0.0442,0.9399
341,0.0042,0.0796,1.1321
342,-0.0159,-0.0134,0.9270
343,-0.0225,0.0986,0.9387
344,-0.0454,-0.1235,1.0571
345,0.0688,0.0779,1.0813
346,0.0647,-0.0403,1.0532
347,0.0146,-0.0042,0.9817
348,0.0161,-0.0593,0.9231
349,-0.0034,-0.0251,1.0278
350,-0.0569,-0.1108,0.9741
351,-0.0938,-0.0342,1.1528
352,0.0552,0.0713,1.1135
353,-0.0908,0.0237,1.0239
354,0.0696,0.0811,0.9536
355,0.1438,0.1619,0.9946
356,0.1025,0.1223,1.0122
357,0.0334,-0.2495,0.9077
358,-0.0667,-0.1028,1.1350
359,0.0930,-0.0991,0.7798
360,0.1270,0.1328,1.0015
361,-0.0122,-0.0166,0.9565
362,-0.0186,-0.1094,1.0149
363,0.1733,-0.0588,0.8547
364,-0.0830,0.0068,0.9009
365,-0.0728,0.0659,0.9670
366,-0.2292,-0.1133,0.9797
367,0.0059,0.0447,0.9622
368,-0.0300,0.0100,1.1138
369,0.0798,0.0103,0.8940
370,0.0618,-0.0371,0.9966
371,0.0938,-0.0122,0.8694
372,0.1934,0.0527,1.0764
373,0.1311,0.1436,0.9927
374,0.0186,-0.0396,1.0933
375,-0.1604,-0.1631,0.9038
376,0.0364,0.1294,1.1526
377,0.0171,-0.0708,0.9827
378,-0.1609,-0.0391,0.9465
379,-0.1018,0.0369,0.8872
380,-0.0791,0.1763,1.0198
381,0.0459,0.0676,0.6077
382,0.0127,-0.0437,1.1216
383,0.0427,-0.3921,0.8892
384,0.2488,-0.1470,1.2046
385,0.1736,-0.6479,0.9360
386,-0.0159,-0.5959,0.8801
387,0.0964,-0.9631,0.9133
388,-0.1567,-0.9468,1.0171
389,0.0664,-0.8479,1.0178
390,-0.2605,-0.8899,1.1047
391,0.0217,-0.5732,0.9319
392,-0.0911,-0.5969,1.1399
393,-0.0479,-0.3638,0.9458
394,0.1631,-0.2185,1.1216
395,0.0100,-0.3154,0.7844
396,0.1174,-0.3062,1.0034
397,0.0725,-0.1121,0.9780
398,0.0967,-0.2222,0.9272
399,-0.0334,-0.1560,1.0493
400,-0.0815,-0.3354,0.8052
401,-0.0320,-0.2690,0.9722
402,-0.0295,-0.5256,1.0266
403,-0.1907,-0.6958,0.9741
404,-0.0173,-0.6453,0.9065
405,0.0471,-0.6965,0.9114
406,0.0168,-0.9546,1.1274
407,0.0569,-0.8293,0.9436
408,0.0696,-0.7922,0.9749
409,0.1587,-0.6416,1.0227
410,0.0327,-0.6116,1.0120
411,-0.0232,-0.5103,1.1216
412,-0.0281,-0.2874,0.9329
413,-0.0564,-0.3772,0.8567
414,-0.1475,-0.2805,1.2161
415,-0.0083,-0.3000,0.8948
416,0.1313,-0.2434,1.0129
417,0.0061,-0.5083,0.9790
418,0.0840,-0.4817,0.9915
419,0.2893,-0.3882,0.8716
420,-0.0103,-0.6594,1.1106
421,-0.0864,-0.7493,0.9319
422,-0.1128,-0.8022,0.9556
423,0.0264,-0.8127,0.9602
424,-0.0198,-0.5999,1.2278
425,-0.0693,-0.6089,1.0669
426,-0.0132,-0.6458,0.8811
427,0.0708,-0.4761,0.7573
428,0.0642,-0.3196,1.0129
429,0.0442,-0.2720,1.0923
430,0.0427,-0.1765,0.9924
431,0.0166,0.1040,0.9524
432,-0.0759,0.1992,0.9817
433,-0.0312,0.3091,0.8997
434,0.0720,0.3406,0.9524
435,0.0063,0.3103,1.1147
436,-0.0852,0.2361,1.0015
437,0.0632,0.2271,0.8899
438,0.0276,0.1440,0.8479
439,-0.0295,-0.0208,0.9517
440,0.0735,-0.1477,1.0403
441,0.0427,-0.1904,1.0151
442,-0.0081,-0.1780,0.9709
443,-0.0210,-0.1992,1.0054
444,-0.0061,-0.1267,0.9985
445,-0.0786,-0.0627,1.0110
446,-0.0112,0.0049,1.0100
447,0.0298,0.0657,0.9983
448,0.0281,0.1255,0.9915
449,0.0437,0.2312,0.9829
450,0.0012,0.2234,0.9341
451,0.0852,0.2549,0.9380
452,0.0305,0.2078,0.9907
453,-0.0063,0.1316,0.9888
454,0.0684,0.0562,0.9937
455,-0.0278,-0.0017,1.0237
456,0.0034,-0.0210,1.0022
457,0.0068,-0.0608,0.9758
458,-0.0317,-0.0813,0.9878
459,0.0024,-0.0413,0.9839
460,0.0137,-0.0110,0.9878
461,0.0229,0.0154,1.0208
462,0.0232,0.0977,0.9946
463,0.0347,0.1094,0.9546
464,-0.0151,0.1013,0.9448
465,0.0005,0.1125,0.9604
466,-0.0305,0.0781,1.0103
467,0.0237,0.0444,0.9758
468,0.0361,0.0144,1.0054
469,-0.0352,-0.0090,0.9956
470,0.0264,-0.0544,0.9604
471,0.0261,-0.0527,1.0024
472,-0.0227,-0.0525,1.0042
473,0.0415,-0.0361,0.9573
474,0.0305,-0.0586,0.9839
475,-0.0349,-0.0386,0.9790
476,-0.0303,0.0337,0.9631
477,0.0327,0.0083,0.9448
478,-0.0039,-0.0049,0.9797
479,0.0063,0.0378,0.9946
480,0.0344,-0.0107,0.9653
481,-0.0007,-0.0479,0.9868
482,0.0266,-0.0425,1.0054
483,-0.0107,-0.0593,0.9963
484,0.0024,-0.0789,0.9436
485,-0.0037,-0.0596,1.0051
486,-0.0007,-0.0364,0.9878
487,0.0051,-0.0354,0.9924
488,0.0469,0.0046,0.9758
489,-0.0354,0.0093,0.9731
490,0.0061,0.0149,0.9507
491,0.0488,0.0112,0.9526
492,-0.0010,-0.0244,0.9915
493,0.0173,-0.0005,0.9885
494,0.0261,-0.0029,0.9622
495,-0.0317,-0.0447,0.9849
496,-0.0137,0.0188,0.9800
497,0.0161,-0.0056,0.9653
498,0.0129,-0.0195,1.0063
499,0.0298,0.0354,0.9993
500,-0.0112,0.0151,0.9954
501,0.0300,0.0164,0.9709
502,0.0361,0.0269,0.9875
503,0.0000,0.0410,0.9829
504,0.0005,0.0388,0.9683
505,0.0110,0.0286,0.9963
506,0.0110,0.0237,1.0034
507,0.0144,0.0369,1.0132
508,-0.0242,0.0435,0.9885
509,0.0327,0.0371,0.9338
510,0.0403,0.0254,1.0139
511,-0.0071,0.0322,1.0168
512,0.0117,0.0425,0.9651
513,0.0176,0.0559,0.9524
514,0.0298,0.0259,0.9807
515,-0.0303,0.0513,1.0110
516,0.0227,0.0549,0.9429
517,0.0090,0.0210,1.0005
518,0.0024,0.0396,1.0198
519,-0.0127,0.0261,0.9868
520,0.0261,0.0535,0.9507
521,0.0122,0.0222,0.9924
522,-0.0417,0.0271,1.0161
523,0.0308,0.0432,0.9622
524,0.0149,-0.0049,0.9778
525,0.0249,0.0181,0.9944
526,0.0095,0.0081,1.0081
527,0.0002,0.0188,0.9673
528,0.0254,0.0103,0.9407
529,-0.0271,0.0046,1.0288
